source_id,RA_ICRS,DE_ICRS,Gmag
8840000521,0.75334873,-60.69190137,7.931
8840008231,5.64238709,-61.03485532,7.298
8840009781,1.39897967,-61.30987033,7.476
8840017091,1.90244846,-62.31509456,7.689
8840018411,2.46715255,-62.2967944,6.355
8840018491,5.5416849,-61.29741121,7.965
8840018581,4.42126673,-60.79924778,7.704
8841000211,5.92819342,-62.42507187,7.699
8841004891,11.13201712,-62.49755808,6.308
8841013281,8.38543246,-61.1472427,7.759
8841016771,10.67477329,-60.26280752,6.131
8842003801,15.32930192,-60.86015245,6.989
8842007481,17.01653028,-61.87161498,7.505
8842017771,15.82459645,-60.09748369,7.577
8842017772,15.82679388,-60.09837913,7.671
8842017801,14.59261417,-60.69623787,6.247
8842017811,16.82776168,-61.7752927,5.439
8843000731,0.37258727,-62.92313549,7.472
8843005901,3.58673401,-62.77195517,6.837
8843011011,2.42228187,-63.58978526,7.607
8843013301,4.6088482,-63.4774917,7.522
8843017061,5.01775866,-64.87479253,4.286
8844001861,11.22769393,-63.19662228,7.112
8844010551,10.81952654,-64.81947875,7.782
8844010591,7.08308129,-64.72965689,7.773
8844015191,7.88611748,-62.95822506,4.282
8844015201,7.8894511,-62.96556401,4.505
8844015211,8.18293856,-63.03150422,5.069
8845002541,13.40780377,-62.87135337,5.922
8845008281,13.14985993,-63.741235,7.058
8845008901,11.57002007,-62.6757837,7.739
8845010421,16.14244711,-64.70117347,7.73
8845011081,14.45786558,-63.77411266,7.859
8845014341,14.08853314,-63.95840092,7.253
8846005101,4.13120556,-66.69007418,7.861
8846006381,4.44646632,-66.35890759,7.868
8846007841,5.37898328,-65.75165558,7.399
8846008971,5.38930414,-66.30457106,7.362
8846010921,0.15888416,-66.68318369,7.69
8846014691,1.92065849,-65.93242847,6.948
8847003321,10.67232321,-65.60848608,7.057
8847004641,5.76973309,-65.12114251,7.951
8847005981,11.1636153,-65.6495203,6.621
8847013821,9.15687008,-65.12444615,6.557
8847014061,9.53481744,-66.04281559,7.44
8847014891,10.61822093,-65.4680317,5.439
8848000591,15.67878927,-65.45610354,6.471
8848014001,14.46699303,-66.56083036,7.296
8849002261,20.98661438,-60.62896514,7.86
8849009121,20.61532083,-61.00311788,7.957
8849010141,20.05261494,-60.07424676,7.452
8849010851,18.84354211,-62.10886505,7.994
8849014361,20.58823863,-61.32941552,7.413
