star_id,x_pixel,y_pixel,flux,magnitude
17,202.01,452.87,2.39,6.555736
19,197.26,258.73,5.11,5.729844
20,140.71,211.29,13.34,4.6874065
21,178.75,101.1,9.93,5.0080805
81,448.42,116.25,1.16,7.33677
258,115.24,406.32,1.91,6.799138
261,296.26,327.6,1.14,7.3557224
262,324.02,306.83,1.32,7.199618
263,162.9,264.72,2.3,6.5934916
264,374.02,195.15,10.0,4.99968
265,297.95,55.11,2.72,6.414292
311,570.4,68.64,1.05,7.4450984
483,5.99,491.4,1.25,7.2613115
500,436.39,199.67,2.85,6.3617477
502,198.58,1.61,1.24,7.262336
557,420.78,119.35,1.2,7.300951
727,205.44,328.57,1.61,6.9825735
729,354.02,201.01,3.6,6.1095624
730,303.36,184.06,2.21,6.6409016
781,499.35,12.54,2.24,6.623565
960,4.78,548.75,2.2,6.642882
973,136.01,364.25,1.07,7.4254622
974,157.55,342.51,3.05,6.29049
975,114.18,358.6,9.68,5.034757
978,296.49,261.87,3.01,6.3035088
979,405.95,156.02,3.35,6.188693
980,76.05,73.79,2.82,6.375805
981,225.17,39.05,1.28,7.230259
1222,201.45,425.44,9.89,5.012336
1223,92.09,53.24,3.17,6.249009
1281,477.51,75.56,1.02,7.482495
1282,605.86,42.55,17.52,4.391385
1450,152.36,279.97,1.02,7.4824357
1451,78.64,244.18,1.13,7.370374
1454,338.8,293.74,2.51,6.498794
1455,113.57,205.36,2.36,6.5697107
1500,449.48,65.01,1.03,7.4726605
1691,282.87,226.13,14.0,4.634965
1692,214.81,123.06,1.45,7.0989013
1693,250.48,71.19,1.33,7.1904883
1914,18.16,509.7,1.1,7.392424
1924,209.48,370.59,3.24,6.22413
1969,478.39,106.44,1.3,7.2182555
1970,509.37,96.54,1.16,7.335183
1971,511.26,82.1,3.7,6.0785937
1972,386.46,97.75,1.34,7.185229
1973,584.44,78.73,2.14,6.675085
2153,8.78,529.18,2.01,6.7424545
2163,215.37,270.16,3.37,6.1794977
2164,334.09,153.52,1.91,6.796812
2165,107.58,36.15,2.21,6.637242
2167,246.95,16.7,1.08,7.415903
2408,34.63,297.42,1.97,6.7659864
2409,267.64,73.08,6.88,5.405279
2701,519.9,66.55,3.06,6.2871585
2873,3.62,517.0,6.56,5.4581585
2889,264.59,299.02,2.6,6.4606843
2890,339.84,235.55,3.45,6.1554437
2891,57.3,62.48,3.82,6.0456877
2892,167.39,21.08,3.87,6.030743
2950,480.56,189.28,1.35,7.1746006
2951,483.06,145.62,1.07,7.4307876
3119,168.06,424.63,1.74,6.8976345
3120,148.15,292.25,3.04,6.293651
3123,68.76,199.38,2.1,6.6941156
3124,77.81,192.42,5.99,5.5570393
3125,144.33,56.64,1.29,7.226278
3126,188.39,10.74,1.25,7.261194
3368,32.08,271.3,1.07,7.4249415
3369,282.87,226.21,14.96,4.5623956
3370,48.97,82.0,2.85,6.361703
3372,130.61,41.97,6.32,5.4979186
3599,265.25,363.22,1.0,7.499938
3600,249.91,276.51,11.55,4.8437476
