star_id,x_pixel,y_pixel,flux,magnitude
9071,169.93,86.64,1.4,7.13844
9078,484.52,99.61,1.05,7.4506354
9079,540.5,108.24,1.98,6.759768
9080,593.38,232.64,1.34,7.185722
9081,755.84,174.37,1.44,7.101775
9316,167.99,101.42,4.39,5.8933125
9785,39.34,219.3,3.57,6.119611
9791,645.77,40.74,2.87,6.354102
9792,736.32,52.51,1.68,6.9340568
9795,908.14,109.06,5.6,5.629999
9796,902.48,131.49,1.07,7.42476
9797,584.87,207.33,1.42,7.1174884
9798,589.81,240.61,2.04,6.728361
11929,206.62,46.49,2.85,6.361942
11930,50.71,79.94,1.52,7.0446215
11937,1001.4,29.14,1.18,7.3177466
11938,907.32,115.02,1.48,7.073998
11939,686.07,44.57,1.21,7.292242
11940,636.27,223.25,1.07,7.424035
11941,714.23,275.43,35.19,3.6340435
11942,721.22,282.25,1.41,7.1247454
11943,688.49,325.61,1.13,7.371449
11944,285.9,36.13,1.11,7.3914585
11945,38.76,257.46,3.06,6.286632
11946,47.92,279.87,1.04,7.454941
11947,98.81,338.17,7.81,5.2683825
11948,370.93,346.93,1.19,7.3076124
11949,451.11,319.57,1.86,6.827343
14136,59.93,63.89,6.71,5.4328475
14137,43.9,81.96,1.28,7.228625
14138,154.6,93.55,12.52,4.7560234
14140,46.37,126.71,1.28,7.233231
14143,439.29,50.15,1.66,6.9479003
14144,511.14,141.63,1.92,6.790475
14145,598.53,192.72,1.25,7.25993
14146,739.96,160.75,3.49,6.1429453
14147,777.27,185.21,2.81,6.3797684
14148,698.2,237.67,17.07,4.4196525
14149,641.26,260.51,7.85,5.2626987
14150,323.33,193.12,1.58,7.005375
14151,128.22,409.21,1.77,6.8801446
14152,50.42,436.38,7.05,5.379162
14153,448.66,259.95,1.27,7.2372403
14154,422.12,257.22,1.12,7.3780007
14155,555.0,245.8,1.03,7.465802
14156,349.63,394.87,3.31,6.2001266
14157,403.35,396.42,1.24,7.2679634
14158,504.26,490.38,2.47,6.519926
14159,512.55,499.2,10.37,4.9609604
14160,510.44,503.37,2.02,6.735891
14183,64.72,530.64,2.59,6.465258
14190,17.2,755.37,1.06,7.435014
14191,92.49,816.95,2.81,6.3792887
14195,64.3,829.51,1.26,7.2499995
14196,9.7,857.68,5.74,5.6021695
14211,1015.3,596.03,8.78,5.1411705
14212,834.06,522.14,1.06,7.43538
14213,649.62,578.04,1.01,7.4928217
14214,717.7,597.74,4.85,5.7853374
14215,515.74,542.87,2.09,6.697065
14216,517.59,557.59,1.22,7.287752
14217,522.89,648.03,3.29,6.206716
14218,356.52,639.49,1.01,7.4906363
14219,743.91,716.13,1.27,7.2387366
14220,740.29,795.71,1.97,6.762553
14221,734.42,936.26,1.21,7.292102
14222,749.47,962.32,2.73,6.411093
14238,866.42,990.44,1.56,7.0198126
14239,751.46,984.13,5.38,5.672756
14240,753.98,1019.67,3.96,6.0057163
14248,291.81,785.06,1.97,6.7636566
14249,173.74,820.82,1.2,7.304384
14250,162.21,822.94,1.59,6.9982686
14251,183.43,896.12,5.69,5.6115665
14252,191.74,923.53,2.09,6.6985183
14253,363.75,900.68,2.19,6.6487246
14257,470.19,880.84,1.15,7.35083
14258,584.25,934.44,1.56,7.020383
14259,485.75,981.59,2.87,6.354797
14261,630.27,979.97,5.04,5.7436213
14425,126.77,85.81,1.28,7.2349696
14431,374.96,9.14,1.69,6.9318404
14435,458.97,106.36,3.36,6.1839023
14437,747.29,5.76,2.96,6.3211784
14438,841.12,61.69,1.32,7.2005734
14439,223.18,176.73,8.01,5.2413907
14440,414.67,173.27,38.33,3.5410435
14441,328.51,310.31,1.26,7.246963
14442,310.94,309.19,1.09,7.4047594
14443,128.54,303.83,1.37,7.1594615
14444,231.49,297.94,1.78,6.8714395
14445,140.27,356.55,9.99,5.0009317
14446,19.95,422.32,1.27,7.244613
14447,144.87,449.56,2.51,6.5029416
14448,476.76,351.43,2.59,6.4677873
14449,511.13,481.36,1.31,7.206835
