star_id,x_pixel,y_pixel,flux,magnitude
98,42.72,136.52,7.58,5.3002076
102,772.51,65.43,1.77,6.8801956
103,839.39,199.73,4.09,5.9713707
104,737.85,146.2,2.93,6.3346424
105,406.87,88.53,1.48,7.0715575
106,304.17,307.21,1.62,6.973679
107,309.09,316.94,5.43,5.662336
108,399.51,421.86,2.14,6.675647
109,474.07,453.82,5.03,5.7464166
110,422.26,455.48,12.75,4.736113
111,405.41,481.41,1.43,7.108287
112,449.85,473.61,1.5,7.0608582
113,659.36,235.18,2.19,6.6506767
114,624.7,353.5,2.19,6.6496725
115,693.59,312.3,1.09,7.4023438
116,763.77,553.06,1.92,6.7899804
117,545.47,503.61,2.39,6.556101
123,133.09,323.85,4.6,5.8440895
124,138.71,471.57,1.82,6.850105
126,46.48,670.37,6.5,5.4685206
136,298.93,463.7,2.59,6.4670362
137,216.23,508.54,1.11,7.3898315
138,261.56,527.42,2.18,6.652273
139,373.78,544.72,1.35,7.171025
140,376.23,574.49,1.26,7.2482433
141,217.36,707.99,2.33,6.580384
142,284.19,681.97,1.12,7.3756704
143,347.32,884.09,4.9,5.774379
144,598.48,854.92,1.27,7.239864
145,468.29,920.58,10.45,4.952493
151,263.32,1010.51,10.7,4.926409
327,78.37,16.2,3.52,6.1335816
328,115.71,99.17,1.23,7.278764
329,57.47,161.74,1.28,7.231387
330,150.08,65.47,1.6,6.9879494
337,756.26,22.54,1.57,7.007338
338,755.64,166.41,6.04,5.547027
339,778.82,261.97,1.39,7.138645
340,391.07,176.46,3.35,6.1862416
341,400.7,241.15,1.0,7.499258
342,405.71,245.97,1.06,7.441687
343,735.43,369.55,1.31,7.206457
344,726.54,660.77,3.43,6.1628513
349,156.06,324.67,1.05,7.4420023
350,152.76,451.44,1.05,7.4420314
352,99.95,649.54,1.68,6.933734
353,123.3,678.07,1.09,7.4037733
354,65.84,729.78,1.09,7.4094157
364,72.35,972.65,1.28,7.2301154
368,309.65,444.97,3.02,6.3017683
369,274.77,592.21,1.52,7.046594
370,332.89,661.06,6.85,5.4103966
371,143.44,689.73,1.2,7.3050394
372,190.43,706.03,1.18,7.3211155
373,294.56,696.44,7.8,5.270163
374,323.39,940.04,2.64,6.4476395
375,544.87,642.3,2.11,6.6874986
376,558.43,783.98,1.29,7.223792
377,568.01,795.03,1.06,7.4342327
378,484.8,846.85,1.84,6.840077
379,465.4,868.14,1.44,7.1052103
380,406.75,874.89,1.05,7.4512863
385,274.32,982.67,1.79,6.8674054
581,129.05,251.57,1.06,7.441417
595,880.61,10.98,2.41,6.542779
598,650.4,15.49,2.4,6.5476174
599,650.38,138.7,2.42,6.5402994
600,759.68,188.14,1.83,6.8461547
601,729.32,259.18,1.1,7.3986034
602,820.45,249.88,1.05,7.446955
603,784.85,289.59,1.16,7.3349285
605,367.99,6.03,1.25,7.2605863
606,524.42,79.54,1.22,7.2858014
607,489.84,127.58,1.47,7.0851736
608,450.74,139.3,2.18,6.6557727
609,401.71,227.49,1.29,7.225426
610,306.01,283.47,1.24,7.2631617
611,307.56,283.68,1.21,7.294866
612,375.67,283.26,1.02,7.4814525
613,407.26,453.64,1.95,6.773649
614,577.13,219.63,1.27,7.2425704
615,572.38,242.33,2.42,6.5403924
616,734.42,504.65,127.92,2.232691
617,484.86,436.19,1.47,7.0849767
618,510.06,456.65,1.45,7.098218
619,501.08,488.21,1.25,7.261396
620,725.05,521.21,2.17,6.660549
624,50.9,507.39,2.02,6.7341924
625,1.22,515.12,1.24,7.2659636
636,304.9,430.16,3.22,6.2286763
637,238.53,558.32,1.11,7.3835306
638,314.58,542.91,1.39,7.143441
639,372.55,543.5,1.06,7.4370637
640,407.42,732.78,1.42,7.1174684
641,193.71,686.56,1.62,6.975601
642,237.35,747.46,1.1,7.399763
643,184.88,783.15,2.2,6.6456065
644,187.73,858.71,2.02,6.736265
645,393.39,782.81,1.41,7.125219
646,710.83,756.46,1.23,7.2738285
647,689.99,801.74,1.63,6.9700375
648,507.92,834.82,1.16,7.3358502
649,104.97,970.3,2.33,6.582937
656,359.19,1015.73,3.38,6.1762204
794,221.84,55.82,3.24,6.2247167
795,210.44,101.53,1.25,7.2560062
796,186.44,187.23,2.28,6.605714
797,214.7,284.37,2.31,6.5889897
801,520.15,62.32,1.9,6.8055873
805,711.21,74.88,1.01,7.489269
806,549.99,155.95,1.46,7.0872407
807,561.04,221.26,2.95,6.3248267
808,680.98,351.59,3.54,6.1279345
809,670.67,412.23,2.49,6.510629
810,502.41,387.05,2.73,6.411534
811,529.62,444.21,5.06,5.7392054
812,649.57,543.84,1.37,7.155011
818,118.27,429.86,9.49,5.057103
819,121.84,487.07,2.12,6.683826
820,155.73,479.48,5.37,5.674918
822,29.0,532.26,1.24,7.266839
824,97.41,729.04,1.03,7.472057
829,285.85,481.71,1.58,7.0054774
830,340.04,455.64,9.1,5.1020503
831,256.02,768.11,1.48,7.0710793
832,166.24,763.08,1.11,7.3843203
833,199.53,832.61,1.39,7.1445527
834,326.45,697.6,6.04,5.546991
835,376.39,800.66,6.05,5.545116
836,467.73,628.44,1.03,7.4650316
837,620.97,681.36,1.24,7.264322
838,599.21,748.47,2.59,6.4659452
839,679.3,738.59,1.05,7.4472575
840,532.18,856.07,4.45,5.8801327
842,190.31,918.7,3.22,6.229358
843,346.25,965.86,26.34,3.9484353
849,423.68,1018.25,2.4,6.548519
1047,87.82,66.91,1.01,7.4875236
1049,99.53,197.22,1.12,7.374715
1050,42.67,235.96,10.66,4.9302106
1060,823.8,76.9,1.99,6.753102
1061,823.56,196.87,1.08,7.416115
1062,444.74,48.9,1.21,7.2964597
1063,504.33,151.61,3.34,6.1919794
1064,272.18,207.23,1.2,7.3005223
1065,470.51,315.55,1.47,7.0786095
1066,445.0,377.92,1.08,7.414257
1067,461.09,403.31,1.3,7.218407
1068,611.17,188.69,12.29,4.776489
1069,646.07,382.31,1.39,7.1462283
1070,692.76,285.06,5.28,5.694212
1071,676.78,368.33,1.99,6.754717
1072,698.1,408.21,2.46,6.522569
1073,600.06,418.92,1.08,7.4212284
1074,534.49,477.63,16.46,4.45898
1075,526.07,524.97,4.1,5.967921
1076,526.23,537.05,149.34,2.0645833
1077,639.08,518.84,4.2,5.942178
1078,755.62,568.46,1.26,7.245332
1079,711.26,744.47,5.83,5.585219
1088,30.23,260.95,3.81,6.0464883
1089,76.69,261.83,2.45,6.52794
1091,135.36,475.68,3.21,6.234268
1094,28.71,628.57,1.12,7.375222
1095,140.89,638.82,1.17,7.330658
1096,61.01,705.88,3.57,6.1169815
1097,68.68,802.74,1.81,6.8528657
1104,29.73,845.4,13.69,4.6590376
1105,79.22,926.68,1.17,7.330551
1107,186.83,475.38,3.08,6.2792935
1108,258.76,541.53,2.44,6.53108
1109,447.9,579.62,1.29,7.2211633
1110,316.65,552.91,1.06,7.4324827
1111,306.84,659.96,45.51,3.3546658
1112,176.87,854.27,4.21,5.9381804
1113,480.81,635.6,1.05,7.443187
1114,545.82,612.84,2.0,6.7450376
1115,435.25,675.07,2.97,6.3175707
1116,517.6,730.21,4.12,5.9624877
1117,668.42,736.1,1.28,7.235837
1118,545.51,968.1,1.05,7.44575
1119,237.37,959.41,1.01,7.485926
1296,18.52,3.48,1.03,7.4685683
1297,66.91,146.58,3.63,6.1000957
1298,38.83,205.96,1.13,7.36419
1299,138.62,93.65,1.48,7.075063
1300,214.44,255.68,1.66,6.94978
1301,200.72,324.34,1.02,7.483252
1307,878.22,5.1,2.1,6.693346
1308,592.11,39.75,1.19,7.311928
1309,795.41,101.01,1.48,7.073755
1310,374.55,12.73,14.81,4.57383
1311,456.32,135.19,1.35,7.173398
1312,486.51,203.3,2.49,6.5098643
1313,359.37,234.07,1.36,7.1665764
1314,324.37,255.02,1.89,6.8076844
1315,411.14,343.84,1.48,7.0746555
1316,425.9,359.49,1.13,7.365197
1317,471.24,339.03,10.49,4.9480124
1318,423.19,454.61,1.83,6.842597
1319,653.39,307.51,2.85,6.36461
1320,649.25,317.7,2.5,6.5071044
1321,735.89,450.32,2.98,6.3149014
1322,549.15,385.32,1.18,7.319625
1323,508.33,396.75,2.28,6.6063876
1324,733.61,572.02,2.06,6.713172
1325,699.03,554.83,1.28,7.2332706
1329,105.81,416.06,3.98,6.000012
1330,75.09,425.19,1.09,7.409091
1331,95.44,505.56,1.94,6.778999
1332,146.89,469.5,2.48,6.514051
1333,128.28,476.76,1.22,7.287475
1334,138.45,505.58,1.34,7.1847057
1336,87.66,760.34,7.97,5.246683
1341,308.12,501.66,1.29,7.2225795
1342,249.49,568.36,1.02,7.476966
1343,353.83,510.75,1.43,7.108974
1344,338.99,561.91,2.17,6.658859
1345,222.04,666.51,3.1,6.272554
1346,219.01,740.59,1.51,7.054485
1347,152.3,723.29,1.02,7.4837933
1348,212.06,859.99,2.4,6.548692
1349,355.32,715.17,1.12,7.3752713
1350,346.29,847.37,3.13,6.2626257
1351,491.95,717.29,1.32,7.1995664
1352,503.41,830.23,1.02,7.47671
1353,462.09,1023.56,1.41,7.130009
1514,116.01,102.77,1.04,7.456119
1515,33.56,136.34,3.51,6.1358643
1516,90.0,188.72,1.16,7.341761
1521,611.2,64.54,10.79,4.9178357
1522,649.32,122.02,1.01,7.4858136
1523,739.91,234.52,3.67,6.089311
1525,434.57,2.38,7.32,5.338117
1526,422.13,49.85,1.4,7.134817
1527,456.06,70.56,16.18,4.477227
1528,443.39,225.32,1.3,7.2132425
1529,429.95,230.84,1.25,7.2547436
1530,279.18,152.15,1.25,7.262058
1531,273.36,209.76,23.31,4.081212
1532,258.37,370.31,6.37,5.490368
1533,302.57,388.23,1.7,6.9227233
