star_id,x_pixel,y_pixel,flux,magnitude
54,73.24,834.25,3.04,6.292521
55,234.89,892.36,1.83,6.8425207
56,144.03,822.05,6.63,5.446195
68,922.7,1000.78,1.54,7.0304294
69,925.16,952.61,8.38,5.1920724
70,898.21,938.54,1.57,7.009138
71,901.28,840.1,3.11,6.269004
72,772.25,748.03,1.83,6.843549
75,407.99,905.08,1.49,7.0702415
76,213.52,570.81,1.18,7.316986
77,238.37,586.17,1.07,7.4259076
78,195.63,504.68,3.53,6.129881
79,654.72,869.12,1.01,7.494196
80,498.23,528.76,1.47,7.0817738
118,957.26,831.25,4.64,5.8338976
120,763.64,627.96,3.73,6.0708013
121,927.5,577.42,3.21,6.2343326
122,814.97,494.2,2.73,6.4099298
125,815.51,372.57,1.02,7.4836707
126,931.74,375.42,6.5,5.4685206
127,588.42,484.77,12.34,4.7719235
128,527.45,465.89,2.43,6.536469
129,639.0,376.14,1.34,7.1801047
130,435.28,274.99,3.7,6.0787735
131,698.96,367.68,3.77,6.0577674
132,600.44,283.45,1.57,7.0123363
133,645.27,225.59,1.65,6.957354
134,538.39,155.23,1.11,7.3862658
135,459.24,12.53,6.82,5.416303
141,1018.88,220.09,2.33,6.580384
148,628.22,63.59,1.05,7.4458127
149,746.27,14.5,1.04,7.454297
150,698.49,23.68,2.24,6.6223235
289,180.28,733.32,1.59,6.9938045
298,849.93,966.12,3.87,6.0318065
299,685.5,841.09,1.67,6.9460473
300,897.64,833.88,2.83,6.3694143
301,864.16,853.01,1.36,7.1660748
302,788.97,784.54,1.8,6.859606
303,448.5,900.65,7.09,5.37402
304,559.67,963.98,1.05,7.445779
305,116.78,642.25,4.76,5.80674
306,144.16,599.11,2.27,6.6098967
307,663.6,681.2,3.46,6.1517353
308,330.26,472.67,1.26,7.2524004
309,272.04,317.59,3.79,6.0542307
310,244.73,261.56,4.86,5.7824664
346,903.59,775.72,1.07,7.422325
347,838.08,645.45,4.13,5.959241
351,936.28,443.57,1.18,7.32045
352,983.08,349.66,1.68,6.933734
353,977.21,312.98,1.09,7.4037733
354,900.28,321.88,1.09,7.4094157
355,619.23,602.21,1.3,7.2192965
356,616.33,581.18,6.85,5.4106274
357,688.96,460.16,16.46,4.4589205
358,537.41,369.59,2.34,6.5779495
359,581.53,378.99,1.43,7.1101165
360,295.69,257.19,2.54,6.488669
361,279.05,143.37,1.68,6.933968
362,375.73,146.23,1.38,7.1503406
363,601.29,232.99,1.12,7.3799834
364,728.35,160.85,1.28,7.2301154
365,650.23,106.11,14.79,4.575176
366,423.43,174.86,3.54,6.1289577
371,982.0,289.85,1.2,7.3050394
372,1001.7,242.59,1.18,7.3211155
382,700.08,73.75,7.95,5.2489614
383,659.51,93.62,2.05,6.7185497
534,181.78,907.47,3.77,6.0600085
535,269.43,949.09,2.86,6.3578773
536,254.46,944.91,3.8,6.0494537
537,234.24,897.88,4.41,5.8897476
538,230.71,796.06,1.62,6.9791784
