star_id,x_pixel,y_pixel,flux,magnitude
1,97.2,67.32,104878.58,2.448283
2,63.27,53.11,11111.15,4.885602
3,380.82,94.26,13767.16,4.652889
4,435.71,207.67,10704.79,4.926055
5,454.88,264.61,15381.15,4.532528
6,402.31,337.06,11002.22,4.896299
7,47.35,310.89,65168.54,2.964905
8,65.91,323.46,20709.86,4.209557
10,529.05,345.73,16352.25,4.466056
11,523.14,457.6,13555.91,4.669678
12,575.75,544.23,10616.48,4.935049
13,649.24,593.64,21905.42,4.148621
14,365.15,523.72,11757.15,4.824245
15,249.25,562.83,30603.23,3.785582
16,380.11,702.47,17301.27,4.404805
17,568.04,678.15,29784.56,3.815022
18,950.32,681.87,26496.3,3.942037
19,988.09,814.2,11410.41,4.856747
21,767.02,842.74,11360.99,4.86146
22,831.71,951.94,20423.92,4.224652
23,592.8,875.1,44715.9,3.373845
24,928.94,984.2,10362.25,4.961365
25,116.4,612.98,19048.54,4.300346
26,128.93,844.1,44005.56,3.391231
27,128.94,844.13,42333.13,3.433299
28,414.51,797.44,23460.3,4.074166
31,94.63,963.81,13198.82,4.698662
32,248.39,1019.23,109267.05,2.403777
