star_id,x_pixel,y_pixel,flux,magnitude
5,978.62,14.69,19465.0,4.276864
6,982.33,235.96,10663.89,4.930211
7,876.25,38.87,15147.06,4.549179
11,209.32,51.99,10875.36,4.908891
13,413.8,64.54,10786.13,4.917836
14,423.92,109.19,18205.56,4.34949
15,394.66,149.03,11853.24,4.815407
16,683.81,10.92,13252.08,4.69429
17,650.45,12.73,14807.03,4.57383
18,731.09,133.05,52020.53,3.209563
19,568.94,70.56,16184.87,4.477227
20,751.64,209.76,23308.55,4.081212
21,553.76,339.03,10490.48,4.948012
22,566.87,347.64,19266.3,4.288004
23,595.44,440.27,13165.48,4.701408
24,602.74,455.48,12751.31,4.736113
25,413.83,188.69,12285.83,4.776489
26,451.75,202.8,11299.77,4.867326
27,396.07,308.15,34218.05,3.664362
28,372.11,332.03,13828.26,4.648081
29,420.64,397.43,167105.37,1.942524
30,290.58,504.65,127915.63,2.232691
31,463.11,438.8,46986.51,3.320067
32,497.9,484.63,18271.54,4.345562
33,490.51,477.63,16459.17,4.45898
34,498.77,537.05,149336.79,2.064583
35,483.93,551.27,13984.12,4.635912
36,407.6,618.17,22530.06,4.118094
