star_id,x_pixel,y_pixel,flux,magnitude
7,323.62,42.64,62652.67,3.007651
8,347.05,203.68,10376.16,4.959908
9,184.76,168.8,15230.47,4.543217
10,200.97,244.09,16386.16,4.463807
11,206.58,328.01,16078.61,4.484379
12,573.47,158.09,11927.13,4.80866
13,653.58,265.51,60774.3,3.0407
14,583.29,255.0,48827.54,3.278338
15,407.82,280.91,19654.26,4.266358
16,432.92,297.12,15839.29,4.500661
17,814.37,425.4,10841.85,4.912242
18,580.14,391.62,12401.29,4.766333
19,596.86,394.4,14991.13,4.560414
20,602.44,499.77,18118.96,4.354667
21,665.99,547.23,23108.68,4.090562
22,444.46,424.78,33939.51,3.673236
23,453.87,459.72,22845.17,4.103014
24,208.23,420.11,16110.52,4.482226
25,287.54,504.65,12519.61,4.756023
26,603.65,602.71,14549.07,4.592912
27,464.11,599.59,18781.44,4.315678
28,588.46,671.64,38745.24,3.529454
30,22.06,290.51,40669.68,3.476823
31,75.65,351.09,40877.58,3.471287
36,181.11,511.6,13699.75,4.658218
37,267.48,610.63,10312.92,4.966546
38,188.3,565.63,13979.37,4.636281
39,103.51,588.32,35128.34,3.635856
40,23.03,560.64,38333.88,3.541043
41,83.66,671.36,10107.91,4.988347
42,143.36,715.11,10363.68,4.961215
43,397.58,659.08,12276.55,4.777309
44,336.18,687.82,11935.23,4.807923
45,485.48,771.06,14800.38,4.574318
46,372.22,845.01,15282.29,4.539529
47,117.03,750.86,10009.86,4.99893
48,16.66,743.13,147526.35,2.077826
55,250.03,870.4,37294.57,3.570886
56,112.34,984.37,22402.91,4.124239
57,975.6,546.75,17604.69,4.385929
59,920.4,575.9,27633.25,3.89642
